Site	Site (PSMSL Name)	PSMSL ID	NOAA Station ID	lambda	u	shape	5	95	scale	5	95	AEP1.0	5	95	AEP0.1	5	95	AEP0.01	5	95	AEP0.001	5	95	AEP 1.0 expected	AEP0.1 expected	AEP0.01 expected	AEP0.001 expected	Vshape	Vscale	Vscaleshape
Clearwater Beach, FL	CLEARWATER BEACH	1638	8726724	2.8285	0.3581	0.3283	0.0874	0.5688	0.0780	0.0557	0.1004	0.4542	0.4312	0.4763	0.8276	0.6896	1.0567	1.6193	1.0098	3.0718	2.6858	1.2716	7.1665	0.4539	0.8330	1.7992	3.5007	0.02139	0.000185	-0.001325
Apalachicola, FL	APALACHICOLA	1193	8728690	2.4571	0.3928	0.4962	0.1969	0.7962	0.1162	0.0771	0.1554	0.5242	0.4862	0.5556	1.2881	0.9870	1.8199	3.6924	1.7882	9.4604	8.0314	2.5918	32.9045	0.5224	1.3012	4.2934	NaN	0.0332	0.0005667	-0.002855
Pensacola, FL	PENSACOLA	246	8729840	2.4176	0.3379	0.4680	0.3033	0.6328	0.0694	0.0562	0.0828	0.4137	0.4014	0.4254	0.8441	0.7251	1.0028	2.1034	1.3954	3.4032	4.2329	2.2528	8.9926	0.4135	0.8486	2.2219	4.8774	0.01001	6.539e-05	-0.0004783
Grand Isle, LA	GRAND ISLE	526	8761724	2.1428	0.3565	0.5203	0.2387	0.8021	0.0851	0.0575	0.1127	0.4362	0.4131	0.4575	0.9806	0.7586	1.3894	2.7984	1.4184	6.9601	6.1570	2.1461	23.5214	0.4347	0.9975	3.2251	NaN	0.02921	0.0002818	-0.001588
Sabine Pass, TX	SABINE PASS NORTH	1835	8770570	1.8571	0.3496	0.3122	0.1036	0.5206	0.1030	0.0737	0.1323	0.4201	0.4010	0.4381	0.8349	0.6925	1.0381	1.6940	1.0945	2.9360	2.7904	1.4202	6.4653	0.4187	0.8422	1.8263	3.3965	0.0161	0.0003179	-0.001009
Galveston Pier 21, TX	GALVESTON II, PIER 21, TX	161	8771450	2.2000	0.4182	0.2822	0.1629	0.4011	0.1162	0.0981	0.1344	0.5209	0.5069	0.5349	0.9909	0.8948	1.0977	1.8988	1.4599	2.4859	2.9835	2.0061	4.5386	0.5205	0.9916	1.9329	3.1746	0.005236	0.000122	-0.0004347
Galveston Pleasure Pier, TX	GALVESTON I, PLEASURE PIER, TX	828	8771510	2.1637	0.4938	0.4138	0.2122	0.6149	0.1066	0.0806	0.1325	0.5910	0.5695	0.6102	1.1495	0.9754	1.4057	2.5934	1.6486	4.5466	4.8382	2.3259	11.5092	0.5898	1.1552	2.7831	NaN	0.01498	0.0002493	-0.001073
Freeport, TX	FREEPORT	725	8772440	2.1818	0.4411	0.2148	0.0308	0.3982	0.1081	0.0827	0.1335	0.5330	0.5142	0.5504	0.9113	0.8108	1.0337	1.5276	1.1445	2.2321	2.1855	1.3874	3.9939	0.5322	0.9127	1.6008	2.5057	0.01249	0.0002388	-0.001115
Rockport, TX	ROCKPORT	538	8774770	1.4546	0.3119	0.2869	0.0882	0.4857	0.0742	0.0558	0.0926	0.3414	0.3344	0.3477	0.6069	0.5444	0.6911	1.1284	0.8252	1.7062	1.7622	1.0637	3.4726	0.3409	0.6097	1.1741	2.0100	0.01461	0.0001256	-0.0008399
Port Isabel, TX	PORT ISABEL	497	8779770	1.6757	0.3393	0.4948	0.1716	0.8187	0.0661	0.0415	0.0906	0.3782	0.3652	0.3901	0.7394	0.5937	0.9796	1.8406	0.9494	4.5101	3.8031	1.2880	16.0189	0.3772	0.7413	2.1257	NaN	0.03874	0.0002225	-0.001772
