Station Name,Country,ID,Lat.,Lon.,Coastline
XI SHA,CHN,1745,16.833,112.333,610
XIAMEN,CHN,727,24.45,118.067,610
SHANWEI,CHN,1406,22.75,115.35,610
HAIKOU,CHN,1428,20.017,110.283,610
DONGFANG,CHN,1407,19.1,108.617,610
KANMEN,CHN,934,28.083,121.283,610
LUSI,CHN,979,32.133,121.617,610
LIANYUNGANG,CHN,1405,34.75,119.45,610
SHIJIUSUO,CHN,1404,35.383,119.55,610
YANTAI,CHN,731,37.533,121.383,610
TANGGU,CHN,1403,39,117.717,610
QINHUANGDAO,CHN,614,39.9,119.6,610
DALIAN,CHN,723,38.867,121.683,610
LAOHUTAN,CHN,1513,38.867,121.683,610
COCOS ISLAND (HOME IS.),CCK,983,-12.117,96.894,680
BUENAVENTURA,COL,456,3.9,-77.1,842
TUMACO,COL,639,1.833,-78.733,842
RIOHACHA,COL,714,11.55,-72.917,902
CARTAGENA,COL,572,10.4,-75.55,902
POINTE NOIRE,COG,938,-4.783,11.833,424
PENRHYN,COK,1450,-9.017,-158.067,775
RAROTONGA,COK,1453,-21.2,-159.767,785
RAROTONGA B,COK,1843,-21.205,-159.785,785
PUNTARENAS,CRI,464,9.967,-84.833,836
QUEPOS,CRI,844,9.4,-84.167,836
PUERTO LIMON,CRI,552,10,-83.033,906
ABIDJAN,CIV,1313,5.25,-4,405
ROVINJ,HRV,761,45.083,13.628,280
BAKAR,HRV,353,45.3,14.533,280
ZADAR,HRV,1859,44.123,15.235,280
GAZENICA,HRV,1577,44.083,15.267,280
ZLARIN,HRV,1578,43.7,15.667,280
SPLIT RT MARJANA,HRV,685,43.508,16.392,280
SPLIT - GRADSKA LUKA,HRV,352,43.507,16.442,280
VIS-CESKA VILA,HRV,1574,43.067,16.2,280
SUCURAJ,HRV,1706,43.133,17.2,280
UBLI,HRV,1718,42.75,16.833,280
PLOCE,HRV,1945,43.05,17.417,280
DUBROVNIK,HRV,760,42.658,18.063,280
GIBARA,CUB,563,21.108,-76.125,930
GUANTANAMO BAY,CUB,418,19.907,-75.147,930
CASILDA II,CUB,2021,21.753,-79.992,930
CABO SAN ANTONIO,CUB,1297,21.9,-84.9,930
ISABELA DE SAGUA,CUB,1909,22.933,-80.017,930
CABO CRUZ,CUB,1910,19.833,-77.733,930
MANZANILLO,CUB,1934,20.333,-77.15,930
FAMAGUSTA,CYP,436,35.117,33.95,315
GIRNE,CYP,1911,35.35,33.333,315
GEDSER,DNK,120,54.573,11.926,130
RODBYHAVN,DNK,762,54.656,11.349,130
TEJN,DNK,1812,55.25,14.838,130
KOBENHAVN,DNK,82,55.705,12.6,130
HORNBAEK,DNK,119,56.091,12.458,130
KORSOR,DNK,113,55.332,11.142,130
SLIPSHAVN,DNK,98,55.288,10.828,130
MOMMARK,DNK,271,54.933,10.067,130
FYNSHAV,DNK,1197,54.995,9.987,130
